0.0000 	 5.0000 	 0.9837
5.4919 	 5.9837 	 0.9666
11.9589 	 6.9504 	 0.9393
19.3789 	 7.8896 	 0.8991
27.7181 	 8.7888 	 0.8447
36.9292 	 9.6334 	 0.7758
46.9505 	 10.4093 	 0.6944
57.7070 	 11.1036 	 0.6043
69.1128 	 11.7080 	 0.5109
81.0762 	 12.2188 	 0.4198
93.5049 	 12.6386 	 0.3358
106.3114 	 12.9744 	 0.2624
119.4170 	 13.2368 	 0.2009
132.7543 	 13.4377 	 0.1512
146.2675 	 13.5889 	 0.1124
159.9126 	 13.7013 	 0.0827
173.6553 	 13.7839 	 0.0603
187.4694 	 13.8443 	 0.0438
201.3355 	 13.8880 	 0.0316
215.2393 	 13.9196 	 0.0228
229.1703 	 13.9424 	 0.0164
243.1209 	 13.9588 	 0.0117
257.0855 	 13.9705 	 0.0084
271.0602 	 13.9789 	 0.0060
285.0421 	 13.9849 	 0.0043
299.0292 	 13.9892 	 -1.6158
312.2105 	 12.3734 	 -0.6010
324.2834 	 11.7724 	 -0.3119
335.8999 	 11.4606 	 -0.1783
347.2713 	 11.2823 	 -0.1067
358.5003 	 11.1756 	 -0.0654
369.6432 	 11.1102 	 0.0000
